Fp1,AF3,F3,F7,FC5,FC1,C3,T7,CP5,CP1,P3,P7,PO3,O1,Oz,Pz,Fp2,AF4,Fz,F4,F8,FC6,FC2,Cz,C4,T8,CP6,CP2,P4,P8,PO4,O2
0.057813093,-1.335265708,4.640479834,0.21957263,7.473817197,2.314841544,1.918096675,-9.257533341,9.089943478,-7.104518775,2.414574162,7.827253336,-3.781129703,4.732689026,-5.738116843,-7.654468958,2.332482692,3.561578738,2.406168609,8.67108511,1.046758895,-3.716191836,-30.57954227,-2.241480334,1.415335067,2.406645742,12.86405942,4.02109921,-2.828598465,-2.588735036,2.637905227,-5.226618413
1.367407744,10.25965434,3.345408537,7.897852219,-2.446051236,-1.655034777,-6.301423102,-7.290316574,-3.546453167,-5.705186844,3.636300217,-1.282584819,3.825046404,5.962937662,2.410637397,-2.719755928,1.339452632,6.263791973,-0.270993344,3.272304674,2.150266601,3.397740659,-1.2905158,-2.568397286,-5.651418419,-0.096730002,-4.930759112,-1.722503712,-6.111309137,0.094892926,-3.521353228,1.8870925
-1.783131929,4.133553453,-0.951680496,-1.624802705,-1.827309082,-2.280364391,-2.279224656,9.151344472,-0.239574974,-0.057604018,1.769168071,3.66213127,3.538549612,-2.723943302,-3.57280331,-0.285842812,-2.208535384,1.639804674,-0.395367126,0.245064928,0.364179235,5.892245338,11.42492345,-2.13282333,-0.521116937,8.605298002,-4.499946322,-3.232838752,-4.249644869,-3.68716718,-7.383003739,-4.48953719
-3.690217302,-0.814000136,2.295469337,0.901445479,8.323678851,1.127905683,6.356886101,11.6420819,9.354153756,-1.662477966,2.290675216,5.210836344,-5.103227177,-1.494224231,-6.150061069,-5.58458207,-3.863720951,0.208417334,-1.82834686,3.403780383,-2.148347335,-1.67203298,-14.72141088,-0.506117025,-1.154865506,-3.940250841,7.390880926,2.129897385,-0.794675114,-1.95902127,2.774530024,-6.323059997
2.137114297,6.420466365,6.122229702,10.01532078,3.106394232,3.183129267,3.658534641,4.571792675,4.917712319,-2.325940402,0.34627801,-3.960279264,-5.355266147,5.52965355,1.708645486,-4.302073315,0.396391508,2.753233117,0.729057589,4.59396641,-4.159437209,-8.237151256,-13.81508964,1.813906538,-6.444635185,-27.68087963,0.641364232,1.996658247,-0.445779444,2.614021384,6.161844669,3.308816473
3.006503467,-0.47226909,-0.688213252,-5.780935774,-7.192504994,2.181608941,0.865382997,-9.880725179,3.612375983,5.287214422,-3.985747465,3.38962448,0.622276689,-0.220296885,0.250869906,3.623647439,2.279004941,-1.56067838,4.840037331,2.170833854,-5.198745686,-6.174014828,7.780327257,3.704729108,4.807875947,-14.09935697,-0.398184041,0.968172644,2.847542802,-0.430289734,0.504931976,3.339002092
-2.809823433,-11.44034697,-4.914160006,-12.66326841,0.261806655,0.205864375,3.560403143,-14.66102072,9.591354552,3.608719127,-3.246545183,10.00727685,-2.9762522,-7.139298105,-4.563689036,1.742072773,-0.677565534,-4.125957835,-1.031015459,2.156886028,-5.372856436,-3.312891064,-9.725542226,0.994289847,11.47361513,10.93511384,15.19392434,6.024947374,6.900804972,-1.937050171,7.355115261,0.585088514
-1.858828645,-6.561539916,-1.50235025,-0.684740346,4.311029641,-2.198763428,0.34741914,-3.662025521,3.212800896,-3.526966687,-0.914418412,-1.518351808,-5.432844834,-2.010306727,2.309429719,-1.432527343,-0.567986622,-1.236180371,-6.357678196,1.039832516,-5.029129543,-3.923101181,-22.46867433,-3.071258822,2.917499553,9.906184966,13.91677545,6.580599993,6.766618808,0.13856262,14.74337872,7.767540965
2.375042063,-2.43532419,-3.560730772,-2.490795595,-6.430608247,-5.527053805,-5.815668034,-6.952460389,-8.662935869,0.375793768,-0.550512415,-3.675329368,3.620429966,1.459872338,9.232212873,5.372431296,2.060922172,-1.26176055,-2.13177928,-3.254954359,0.144151517,-0.742696804,6.534450376,-1.057362151,1.95094969,-4.154912759,-0.964971568,1.387964271,6.880012176,2.526859926,5.950608231,9.798155492
-0.863463775,-7.314437237,-8.969851638,-6.965791458,-6.652614177,-8.085985168,-5.035622457,-15.79888435,-5.848907479,2.314192006,1.392230405,2.719215979,6.73823091,-0.164813378,6.087264484,6.227817905,0.450255808,-3.210164637,-1.775276458,-3.529175663,5.609033273,3.513170307,9.122028255,1.306096712,6.041663124,0.540753047,2.653400729,2.418992888,7.746769533,5.704825522,1.287617711,2.341429277
